gre_v,gre_q,gre_aw,num_practice_tests,hours_studied,pp1_v,pp1_q,pp1_aw,pp2_v,pp2_q,pp2_aw,kap1_v,kap1_q,kap2_v,kap2_q,pr1_v,pr1_q,pr1_aw,pr2_v,pr2_q,pr2_aw,man1_v,man1_q,man2_v,man2_q,mag1_v,mag1_q,mag2_v,mag2_q
166,150,5.5,4,115,161,149,,160,155,3.75,,,,,158,148,,161,149,,,,,,,,,
168,168,5.5,2,100,,,,168,169,,,,,,,,,,,,,,,,,,,
162,161,,8,,160,169,,154,165,,,,,,,,,,,,158,161,,,,,,
163,152,4,2,50,162,151,,161,149,,,,,,,,,,,,,,,,,,,
164,169,4.5,18,72,,,,,,,,,,,,,,,,,,,,,,,,
170,170,,1,5,,,,169,170,,,,,,,,,,,,,,,,,,,
169,170,5,2,60,,,,,,,,,,,169,161,,167,170,,,,,,,,,
157,158,,5,36,151,158,,155,157,,,,,,,,,,,,158,157,158,157,154,157,,
169,170,4,2,20,,,,,,,158,167,158,166,,,,,,,,,,,,,,
167,165,6,4,,160,167,,159,163,,160,164,162,164,,,,,,,,,,,,,,
169,156,5,4,,166,152,,164,154,,158,158,158,154,,,,,,,,,,,,,,
167,163,4,7,,,,,,,,,,,,,,,,,,,,,,,,,
165,158,5,5,,163,160,,,,,,,,,,,,,,,,,,,159,153,157,155
164,161,,5,,158,160,,160,162,,,,,,,,,,,,162,164,,,161,161,158,163
163,162,,2,0,,,,,,,162,162,,,161,162,,,,,,,,,,,,
164,164,,2,,158,160,,160,160,,,,,,,,,,,,,,,,,,,
165,165,,3,,164,166,,165,164,,,,,,,,,,,,,,,,157,158,,
164,160,,3,,,,,165,157,,164,162,,,,,,,,,,,,,163,157,,
170,164,,11,,165,161,,166,162,,149,155,,,159,163,,,,,163,166,164,166,,,,
162,170,,2,,168,167,,166,169,,,,,,,,,,,,,,,,,,,
169,168,,10,,165,167,,164,166,,162,168,162,166,,,,,,,169,166,,,,,,
161,169,,4,,165,169,,165,170,,,,,,,,,,,,,,,,,,,
160,161,,1,,155,156,,,,,,,,,,,,,,,,,,,,,,
166,168,,7,,162,170,,,,,160,167,158,162,,,,,,,,,,,,,,
166,161,,5,,161,154,,163,162,,,,,,,,,,,,,,,,154,158,160,157
152,164,3.5,25,,150,157,,151,161,,149,156,149,158,149,162,3.5,151,164,3.5,152,158,154,157,,,,
167,165,5.5,4,,158,155,,160,160,,163,160,,,,,,,,,160,158,,,,,,
169,170,6,4,,166,170,,166,170,,,,,,,,,,,,,,,,,,,
155,154,4,4,,156,146,,155,150,,,,,,,,,,,,151,152,,,,,,
170,165,,1,,168,170,,,,,,,,,,,,,,,,,,,,,,
155,162,,2,,163,164,,,,,,,,,,,,,,,160,161,,,,,,
